15	12	25	15	20	13	13	12	23	12	16	18	16
40	-99	20	12	-99	25	10	15	14	18	25	13	19
12	23	14	15	10	17	22	17	23	8	15	8	17
30	26	30	-99	18	15	16	-99	33	14	16	16	24
18	30	28	10	23	-99	15	10	-99	20	20	17	21
19	15	-99	-99	-99	14	-99	-99	-99	9	-99	-99	-99
-99	20	50	-99	25	-99	22	18	10	21	22	16	20
30	20	28	20	18	30	15	21	22	7	25	14	15
40	40	22	20	25	40	29	11	29	29	30	26	30
30	30	26	18	20	52	28	20	16	25	25	25	23
19	28	21	16	18	15	22	12	23	21	21	21	28
25	35	40	40	25	22	15	13	40	24	24	24	27
15	25	19	30	17	18	13	14	-99	20	20	11	13
